label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21
navid,-0.11863549798727036,0.21505558490753174,-0.8767598271369934,-1.5900590419769287,-0.33915820717811584,-1.52023184299469,0.9055812954902649,-1.636258602142334,0.3112028241157532,-1.5378742218017578,-0.5073413848876953,1.0959899425506592,0.4918217957019806,1.1308037042617798,-0.007475904189050198,2.381722927093506,-0.124366894364357,-0.046560678631067276,-0.09617937356233597,0.3592231571674347,0.3613104522228241,1.1481934785842896
navid,-0.07731276750564575,0.17333035171031952,-0.8704285621643066,-1.6381111145019531,-0.3311646580696106,-1.5342938899993896,0.8876010775566101,-1.5832899808883667,0.31857365369796753,-1.5121562480926514,-0.5186425447463989,1.097765564918518,0.4475646913051605,1.1958681344985962,-0.030586151406168938,2.3689732551574707,-0.07745030522346497,-0.08026772737503052,-0.0696178674697876,0.3119816482067108,0.32146450877189636,1.2001992464065552
navid,-0.06988988071680069,0.21829842031002045,-0.9029964804649353,-1.6485929489135742,-0.3482658565044403,-1.5352325439453125,0.8846270442008972,-1.6026371717453003,0.30649831891059875,-1.518315315246582,-0.521617591381073,1.0952954292297363,0.4690198004245758,1.1532922983169556,-0.026001764461398125,2.3555514812469482,-0.0711163729429245,-0.03944489732384682,-0.06284108012914658,0.3557961881160736,0.3425823450088501,1.165991187095642
navid,-0.06708665192127228,0.21924643218517303,-0.9024125337600708,-1.6472740173339844,-0.3453066945075989,-1.534409761428833,0.8988274931907654,-1.6010105609893799,0.3163858950138092,-1.5191715955734253,-0.5358191132545471,1.093007206916809,0.4647280275821686,1.15601646900177,-0.03932395204901695,2.3493711948394775,-0.06718350946903229,-0.03845218941569328,-0.06117725372314453,0.356649249792099,0.3383714258670807,1.1660248041152954
navid,-0.0651128888130188,0.18995700776576996,-0.8956817984580994,-1.6415055990219116,-0.3452353775501251,-1.5336412191390991,0.8834691047668457,-1.592099905014038,0.3100994825363159,-1.5160837173461914,-0.5199528336524963,1.1226931810379028,0.4574783146381378,1.1741963624954224,-0.03444371372461319,2.353255271911621,-0.06561844050884247,-0.06684165447950363,-0.059090353548526764,0.33120763301849365,0.3340831995010376,1.1788694858551025
navid,-0.06653560698032379,0.18975993990898132,-0.8942509889602661,-1.649822473526001,-0.34530869126319885,-1.5348447561264038,0.8746416568756104,-1.589063286781311,0.3038105368614197,-1.511150598526001,-0.5139829516410828,1.1065359115600586,0.4578961730003357,1.178107738494873,-0.02239462360739708,2.3596370220184326,-0.06762861460447311,-0.06465638428926468,-0.06034804508090019,0.3279690444469452,0.334104984998703,1.1875377893447876
navid,-0.06817595660686493,0.19289880990982056,-0.8930808305740356,-1.654525876045227,-0.3427355885505676,-1.5337356328964233,0.8822815418243408,-1.586205005645752,0.3087562918663025,-1.5075018405914307,-0.5231446027755737,1.0904395580291748,0.45876285433769226,1.1779385805130005,-0.025417309254407883,2.3627984523773193,-0.06875858455896378,-0.06136409938335419,-0.06228369101881981,0.33049145340919495,0.3338007628917694,1.1887563467025757
navid,-0.06725845485925674,0.21004973351955414,-0.9087433815002441,-1.6560949087142944,-0.3523574471473694,-1.5343329906463623,0.8847600817680359,-1.5876007080078125,0.30727651715278625,-1.5078580379486084,-0.5297238826751709,1.084100604057312,0.47370052337646484,1.1554899215698242,-0.025007154792547226,2.365924835205078,-0.06817943602800369,-0.048035167157649994,-0.06103714928030968,0.3496047854423523,0.34656521677970886,1.1687570810317993
navid,-0.06708686053752899,0.21119192242622375,-0.9098736047744751,-1.6517871618270874,-0.3545547127723694,-1.535557508468628,0.8827788829803467,-1.5915021896362305,0.3056996166706085,-1.5127644538879395,-0.5192590355873108,1.0913444757461548,0.46943777799606323,1.1552038192749023,-0.021562738344073296,2.363846778869629,-0.06839507818222046,-0.045521464198827744,-0.060613442212343216,0.34804442524909973,0.34343335032463074,1.167502999305725
navid,-0.05997873842716217,0.2215619534254074,-0.8931701183319092,-1.6539595127105713,-0.3446657359600067,-1.5399333238601685,0.868423342704773,-1.6091206073760986,0.30231398344039917,-1.5227165222167969,-0.5155056715011597,1.0966899394989014,0.4512089490890503,1.1629254817962646,-0.021453026682138443,2.3508594036102295,-0.06036582216620445,-0.03391319885849953,-0.056126952171325684,0.3544696867465973,0.3293231427669525,1.1731351613998413
navid,-0.0520322248339653,0.21218684315681458,-0.8888451457023621,-1.6496069431304932,-0.3446930944919586,-1.538743019104004,0.8511379957199097,-1.6197969913482666,0.2925611436367035,-1.527253270149231,-0.4982159733772278,1.1268231868743896,0.4383515417575836,1.1686289310455322,-0.01600460149347782,2.342576026916504,-0.052818622440099716,-0.039444699883461,-0.04934650659561157,0.3424302935600281,0.3199036717414856,1.182188630104065
